"GenusSpp","Conc.cellsmL","totbiovol.um3mL","date"
"Asterionella formosa",121.714285714286,19873.5085714286,2017-07-11
"Aulacoseira sp. #1",892.571428571428,358742.308571429,2017-07-11
"Cyclotella sp.",40.5714285714286,24459.7028571429,2017-07-11
"Coelastrum sp.",324.571428571429,36689.5542857143,2017-07-11
"Cosmarium sp.",60.8571428571428,22930.9714285714,2017-07-11
"Crucigenia tetrapedia",162.285714285714,679.43619047619,2017-07-11
"Crucigeniella crucifera",162.285714285714,4586.19428571429,2017-07-11
"Desmodesmus communis",933.142857142857,15627.0323809524,2017-07-11
"Elakatothrix genevensis",81.1428571428571,254.788571428571,2017-07-11
"Golenkinia radiata ",20.2857142857143,7739.20285714286,2017-07-11
"Oocystis pusilla ",466.571428571428,28649.5593650794,2017-07-11
"Oocystis solitaria ",304.285714285714,191091.428571429,2017-07-11
"Pediastrum biradiatum",142,1704,2017-07-11
"Pediastrum boryanum",2698,53960,2017-07-11
"Pediastrum duplex",2150.28571428571,68809.1428571429,2017-07-11
"Pediastrum tetras",243.428571428571,7789.71428571428,2017-07-11
"Quadrigula closterioides",81.1428571428571,1358.87238095238,2017-07-11
"Scenedesmus ellipticus",405.714285714286,9076.84285714286,2017-07-11
"Selenastrum capricornutum ",40.5714285714286,636.971428571429,2017-07-11
"Sphaerocystis schroeteri ",81.1428571428571,9172.38857142857,2017-07-11
"Tetraedron caudata",20.2857142857143,70107.4285714286,2017-07-11
"Tetraëdron minimum ",649.142857142857,35053.7142857143,2017-07-11
"Tetraëdron trigonum",1825.71428571429,1869531.42857143,2017-07-11
"Cryptomonas erosa",162.285714285714,135887.238095238,2017-07-11
"Chroococcus minutus",324.571428571429,29725.3333333333,2017-07-11
"Dolichospermum sp.",1237.42857142857,41445.6076190476,2017-07-11
"Microcystis aeruginosa ",304.285714285714,10191.5428571429,2017-07-11
"Ceratium sp.",20.2857142857143,771141.142857143,2017-07-11
"Euglena sp.",20.2857142857143,3906.7580952381,2017-07-11
"Trachelomonas sp.",20.2857142857143,35829.6428571429,2017-07-11
"Navicula ",1.18333333333333,267.528,2017-11-14
"Chlamydomonas ",2.36666666666667,66.882,2017-11-14
"Desmodesmus communis",14.2,352.30024691358,2017-11-14
"Monoraphidium komarkovae",2.36666666666667,216.747222222222,2017-11-14
"Pediastrum boryanum",94.6666666666667,23666.6666666667,2017-11-14
"Tetraëdron minimum",3.55,191.7,2017-11-14
"Tetraëdron trigonum",4.73333333333333,255.6,2017-11-14
"Kephyrion sp.",1.18333333333333,22.294,2017-11-14
"Cryptomonas curvata",13.0166666666667,159856.237037037,2017-11-14
"Cryptomonas erosa",23.6666666666667,101462.471111111,2017-11-14
"Cryptomonas marssonii",1.18333333333333,1486.26666666667,2017-11-14
"Cryptomonas ovata  ",10.65,116496.672768,2017-11-14
"Plagioselmis nannoplanctica",7.1,487.68125,2017-11-14
"Pseudanabaena ",9.46666666666667,25682.688,2017-11-14
"Glenodinium",2.36666666666667,34956.992,2017-11-14
"Euglena",52.0666666666667,56585.6201386667,2017-11-14
"Phacus ",1.18333333333333,1070.112,2017-11-14
"Nitzschia ",9.46666666666667,2853.632,2017-12-12
"Desmodesmus communis",22.0888888888889,369.915259259259,2017-12-12
"Pediastrum boryanum",1.57777777777778,908.8,2017-12-12
"Schroederia setigera ",7.88888888888889,1321.12592592593,2017-12-12
"Cryptomonas curvata",53.6444444444444,576383.196086516,2017-12-12
"Cryptomonas erosa",59.9555555555556,306096.678314161,2017-12-12
"Cryptomonas marssonii",20.5111111111111,52608.0600740741,2017-12-12
"Peridinium sp.",1.57777777777778,15219.3706666667,2017-12-12
"Euglena",41.0222222222222,111291.648,2017-12-12
"Amphora sp.",0.946666666666667,1426.816,2018-01-15
"Navicula sp.",0.946666666666667,713.408,2018-01-15
"Nitzschia sp.",0.946666666666667,89.176,2018-01-15
"Gomphonema sp.",2.84,1919.84,2018-01-15
"Acutodesmus obliquus",3.78666666666667,594.506666666667,2018-01-15
"Kephyrion sp.",6.62666666666667,998.7712,2018-01-15
"Cryptomonas marssonii",0.946666666666667,1426.816,2018-01-15
"Cryptomonas sp.",2.84,3424.3584,2018-01-15
"Cryptomonas erosa",5.68,40001.845525,2018-01-15
"Cryptomonas curvata",16.0933333333333,159499.826620576,2018-01-15
"Euglena sp.",5.68,5945.06666666667,2018-01-15
"Amphora sp.",0.788888888888889,2066.1,2018-02-13
"Aulacoseira sp.",3.15555555555556,2496.928,2018-02-13
"Cocconeis sp.",0.788888888888889,757.333333333333,2018-02-13
"Fragilaria sp.",37.0777777777778,8382.544,2018-02-13
"Gomphonema sp.",5.52222222222222,1124.21496598639,2018-02-13
"Navicula spp.",4.73333333333333,1695.057408,2018-02-13
"Nitzschia sp.",7.1,463.893552,2018-02-13
"Pennate diatoms(unid)",14.2,1666.05989494949,2018-02-13
"Synedra sp.",0.788888888888889,118.901333333333,2018-02-13
"Desmodesmus communis",3.15555555555556,178.352,2018-02-13
"Tetraëdron minimum",11.8333333333333,1514.66666666667,2018-02-13
"Kephyrion sp.",9.46666666666667,1248.464,2018-02-13
"Cryptomonas erosa",3.94444444444444,12729.2929492455,2018-02-13
"Cryptomonas marssonii",7.1,8018.13179379777,2018-02-13
"Microcystis aeruginosa",276.111111111111,13167.39375,2018-02-13
"Planktolyngbya limnetica",45.7555555555556,89.7952777777778,2018-02-13
"Glenodinium sp.",48.9111111111111,87667.053439056,2018-02-13
"Gymnodinium sp.",1.57777777777778,528.45037037037,2018-02-13
"Euglena sp.",1.57777777777778,1998.20296296296,2018-02-13
"Lepocinclis sp.",0.788888888888889,825.703703703704,2018-02-13
"Monomorphina sp.",1.57777777777778,1155.98518518519,2018-02-13
"Phacus smulkowskianus",0.788888888888889,2407.752,2018-02-13
"Phacus sp.",2.36666666666667,7690.42080658436,2018-02-13
"Trachelomonas sp.",0.788888888888889,3477.864,2018-02-13
"Amphora sp.",2.36666666666667,9977.86666666667,2018-03-20
"Aulacoseira sp.",7.1,1203.876,2018-03-20
"Cymbella sp.",2.36666666666667,792.675555555556,2018-03-20
"Fragilaria sp.",246.133333333333,57053.0305691667,2018-03-20
"Gomphonema sp.",2.36666666666667,236.666666666667,2018-03-20
"Meridion sp.",16.5666666666667,6989.0625,2018-03-20
"Navicula spp.",28.4,17670.3437829938,2018-03-20
"Nitzschia spp.",11.8333333333333,1446.77968065844,2018-03-20
"Pennate diatoms(unid)",99.4,23330.514942,2018-03-20
"Tabellaria sp.",9.46666666666667,10701.12,2018-03-20
"Chlamydomonas ",2.36666666666667,278.675,2018-03-20
"Desmodesmus communis",9.46666666666667,176.90289,2018-03-20
"Monoraphidium komarkovae",14.2,2524.7955,2018-03-20
"Schroederia setigera ",9.46666666666667,861.725027777778,2018-03-20
"Tetraëdron minimum",14.2,2886.28148148148,2018-03-20
"Tetrastrum glastrum",9.46666666666667,39.6337777777778,2018-03-20
"Kephyrion sp.",7.1,487.971072,2018-03-20
"Synura sp.",28.4,18443.6404166667,2018-03-20
"Cryptomonas reflexa ",11.8333333333333,20791.6779835391,2018-03-20
"Cryptomonas sp.",11.8333333333333,8271.71621399177,2018-03-20
"Kateblepharis ovalis",2.36666666666667,427.676949,2018-03-20
"Glenodinium sp.",11.8333333333333,10701.12,2018-03-20
"Chlamydomonas sp.",1117.06666666667,1070647.21453511,2018-04-17
"Monoraphidium komarkovae",331.333333333333,28870.73,2018-04-17
"Chromulina sp.",3900.26666666667,700110.867555556,2018-04-17
"Kephyrion spp.",198.8,37980.55722825,2018-04-17
"Mallomonas sp.",179.866666666667,538173.857185185,2018-04-17
"Kateblepharis ovalis",28.4,4280.448,2018-04-17
"Euglena sp.",37.8666666666667,150231.834666667,2018-04-17
"Amphora sp.",16.9047619047619,19474.2857142857,2018-05-15
"Asterionella sp.",676.190476190476,382182.857142857,2018-05-15
"Aulacoseira sp. 1",524.047619047619,210614.738095238,2018-05-15
"Aulacoseira sp. 2",997.380952380952,548060.833333333,2018-05-15
"Cyclotella sp.",118.333333333333,40965.225,2018-05-15
"Nitzschia sp.",33.8095238095238,849.295238095238,2018-05-15
"Sellaphora sp.",16.9047619047619,4458.8,2018-05-15
"Synedra sp.",253.571428571429,84929.5238095238,2018-05-15
"Acutodesmus dimorphus",67.6190476190476,3184.85714285714,2018-05-15
"Cosmarium sp.",16.9047619047619,8280.62857142857,2018-05-15
"Desmodesmus abundans",135.238095238095,6369.71428571429,2018-05-15
"Desmodesmus armatus",67.6190476190476,3184.85714285714,2018-05-15
"Desmodesmus communis",608.571428571429,35387.3015873016,2018-05-15
"Dictyosphaerium pulchellum",67.6190476190476,2264.7873015873,2018-05-15
"Kirchneriella obesa",67.6190476190476,283.098412698413,2018-05-15
"Monoraphidium arcuatum",50.7142857142857,265.404761904762,2018-05-15
"Monoraphidium komarkovae",84.5238095238095,65.314453125,2018-05-15
"Pediastrum biradiatum",118.333333333333,6390,2018-05-15
"Pediastrum boryanum",135.238095238095,12982.8571428571,2018-05-15
"Scenedesmus ellipticus",219.761904761905,1610.12222222222,2018-05-15
"Tetraedron caudatum",16.9047619047619,1273.94285714286,2018-05-15
"Tetraëdron minimum",67.6190476190476,6666.73721340388,2018-05-15
"Mallomonas sp.",16.9047619047619,6794.3619047619,2018-05-15
"Synura sp.",50.7142857142857,18110.0055578143,2018-05-15
"Cryptomonas parapyrenoidifera ",33.8095238095238,50957.7142857143,2018-05-15
"Plagioselmis nannoplanctica",33.8095238095238,676.782142857143,2018-05-15
"Aphanothece sp.",1690.47619047619,2654.04761904762,2018-05-15
"Chroococcus sp.",84.5238095238095,1194.32142857143,2018-05-15
"Dolichospermum sp.",6761.90476190476,226478.73015873,2018-05-15
"Microcystis aeruginosa",169.047619047619,2388.64285714286,2018-05-15
"Trachelomonas sp.",16.9047619047619,20383.0857142857,2018-05-15
"Aulacoseira sp.",200,200960,2018-06-12
"Sphaerocystis schroeteri",400,152604,2018-06-12
